Camper,Choice 1,Choice 2,Choice 3,Choice 4
Jermaine Cai ,horse,puppy,chicken,cow
Samara Halliburton ,chicken,kitten,horse,cow
Irwin Cassella ,puppy,kitten,cow,donkey
Jarvis Madden ,kitten,puppy,horse,goat
Cheryle Letchworth ,bucket,puppy,kitten,goat
Jin Ginn ,kitten,garden,cow,goat
Louann Evitt ,kitten,puppy,cow,donkey
Jacques Hinz ,kitten,cow,puppy,donkey
Alejandra Jeppson ,garden,cow,horse,kitten
Arron Mendicino ,kitten,cow,garden,puppy
Jerica Dimeo ,puppy,garden,goat,donkey
Dustin Witty ,kitten,puppy,sheep,garden
Mariella Sinkfield ,kitten,puppy,store,pig
Eloisa Kimbrell ,pig,puppy,sheep,kitten
Jesus Friday ,kitten,goat,puppy,donkey
Shera Feliz ,chicken,kitten,puppy,cow
Clemencia Lukes ,chicken,kitten,cow,puppy
Alfonso Mirarchi ,chicken,kitten,puppy,cow
Antonina Colston ,kitten,cow,puppy,goat
Hilario Maheux ,puppy,donkey,sheep,dining
Despina Bolden ,dining,puppy,store,cow
Rosanne Alexandre ,kitten,cow,puppy,goat
Diego Aubry ,store,dining,wood,bucket
Kourtney Hillin ,puppy,kitten,cow,garden
Coral Turman ,kitten,cow,puppy,goat
Mirtha Herzberg ,kitten,cow,puppy,goat
Federico Zander ,goat,sheep,wood,cow
Kyoko Fairless ,chicken,kitten,puppy,cow
Felecia Hillman ,pig,cow,donkey,horse
Maryellen Johansen ,chicken,kitten,puppy,cow
Buck Freels ,kitten,cow,puppy,goat
Monika Aubuchon ,kitten,cow,puppy,goat
Joleen Hammel ,chicken,kitten,puppy,cow
Sid Samora ,horse,cow,goat,pig
Merissa Mowen ,horse,cow,donkey,sheep
Garrett Gangi ,pig,bucket,dining,store
Velma Wardell ,kitten,store,puppy,pig
Carolina Malcolm ,chicken,sheep,cow,pig
Piedad Garriga ,chicken,kitten,wood,garden
Melvina Belser ,garden,puppy,kitten,recycling
Malorie Percy ,wood,recycling,dining,bucket
Janina Heitz ,horse,cow,donkey,sheep
Lynne Vandervoort ,horse,cow,donkey,sheep
Edda Difalco ,chicken,kitten,puppy,cow
Virginia Maria ,recycling,sheep,garden,cow
Dana Gosser ,chicken,kitten,puppy,cow
Danita Isham ,chicken,kitten,puppy,cow
Cinthia Steimle ,kitten,cow,puppy,goat
Lupita Flynt ,puppy,donkey,sheep,dining
Daina Mclarty ,dining,puppy,store,cow
Johnathan Sinegal ,goat,sheep,donkey,garden
Felicidad Coombes ,sheep,puppy,donkey,recycling
Marion Gauntt ,wood,garden,pig,kitten
Sanda Casperson ,chicken,wood,kitten,puppy
Christeen Borges ,dining,horse,chicken,bucket
Gertude Friday ,wood,horse,chicken,kitten
Delisa Updegraff ,store,chicken,sheep,pig
Clay Eide ,pig,puppy,sheep,kitten
Jacquetta Monarrez ,kitten,goat,puppy,donkey
Ron Nock ,kitten,cow,puppy,goat
Chin Blanc ,chicken,kitten,puppy,cow
Maisha Candelaria ,horse,cow,goat,pig
Carolina Gress ,horse,cow,donkey,sheep
Ursula Rutigliano ,pig,bucket,dining,store
Kaylene Pelosi ,kitten,store,puppy,pig
Whitley Fagundes ,chicken,sheep,cow,pig
Ethan Hamlett ,cow,pig,puppy,wood
Oretha Pate ,puppy,cow,goat,wood
Eleonor Bascombe ,puppy,kitten,cow,sheep
Ernesto Acedo ,store,sheep,pig,cow
Chieko Dickerson ,kitten,pig,cow,bucket
Milly Lahman ,kitten,cow,puppy,garden
Ocie Wheaton ,cow,kitten,puppy,chicken
Vesta Fluitt ,pig,puppy,sheep,kitten
Antonio Bozell ,kitten,goat,puppy,donkey
Magnolia Lafortune ,dining,puppy,store,cow
Ashanti Oakman ,goat,sheep,donkey,garden
Faustina Musial ,wood,horse,cow,donkey
Gracie Fetterman ,garden,pig,bucket,dining
Joseph Guida ,puppy,kitten,store,cow
Vera Dais ,pig,chicken,sheep,cow
Johnny Schuster ,pig,cow,kitten,puppy
Nickolas Rinaldi ,cow,sheep,puppy,pig
Providencia Medford ,cow,puppy,sheep,kitten
Katie Butters ,cow,puppy,pig,kitten
Glen Goncalves ,cow,puppy,pig,sheep
Dewey Zoll ,cow,wood,bucket,dining
Lucien Yokley ,cow,pig,bucket,garden
